Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
종가,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
반대매매물량이다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
와 단일가 잘못봤나,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
만 한번에되고 만 천 한번에,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
가즈아,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
근데 이정도면 정말 장하다 생각한다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
분명말햇다 내일종가,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.8191186428095761,False
미장선물 비트코인 상승은,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
삼똥그룹의 삼똥증권악마늄 완전 쳤,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.9137468815536411,False
외인은 오르면 파는데,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.8993577254846944,False
피말리고 있다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
내일 외인이 던지면,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
개미들 공매한테 뒤통수 씨게,1,1_개미들_개미_개미는_고점에,"['개미들', '개미', '개미는', '고점에', '개미꼬시면서', '개미꼬시기다', '개미들만', '개미들아', '개미무덤', '공매한테']","['빚투한 개미들 다 없애기 전엔', '개미들 공매한테 뒤통수 씨게', '개미들 고점에 많이 물렸내']",개미들 - 개미 - 개미는 - 고점에 - 개미꼬시면서 - 개미꼬시기다 - 개미들만 - 개미들아 - 개미무덤 - 공매한테,1.0,True
탈출 분 남앗습니다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
나스닥 선물 오르는데,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.9198741978818625,False
끝난 주식,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
