Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
실적이 대단한가 보네,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
BNK자사주 소각 한다는데,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,0.8593205847605299,False
BNK금융지주 자기주식취득 신탁계약 해지 결,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
실적 이슈인가요,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
분기 실적 선반영으로 상승 재료 사라짐,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
시원하게,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
참나 금융주 맞냐,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
떨구려면,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
다른금융주 반만 올라라,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
BNK금융지주 주가 전망 배당금 정보,1,1_bnk금융지주_bnk_요약_ai,"['bnk금융지주', 'bnk', '요약', 'ai', '은행', 'bnk금융지주가', '강세', '경영실적', '계획', '년초']","['BNK금융지주 에라이', 'AI 요약 BNK금융지주 년', 'AI 요약 BNK금융지주 년 분']",bnk금융지주 - bnk - 요약 - ai - 은행 - bnk금융지주가 - 강세 - 경영실적 - 계획 - 년초,1.0,False
